,City,Country,Latitude,Longitude,Humidity,Cloudiness,Wind_Speed,Max_Temp_degF,Date
0,Saint-Philippe,CA,45.36,-73.48,86,1,2.1,272.59,2019-03-30
1,McMurdo Station,AQ,-77.66,168.22,100,0,2.23,245.44,2019-03-30
2,El Colomo,MX,20.87,-105.16,93,5,0.58,292.59,2019-03-30
3,Isachsen,CA,78.79,-103.5,82,68,1.58,258.44,2019-03-30
4,Nonoava,MX,27.47,-106.74,60,80,1.68,280.59,2019-03-30
5,Puerto Escondido,MX,15.86,-97.07,100,24,4.93,301.09,2019-03-30
6,Tianhong,CN,29.68,116.44,53,100,6.13,289.99,2019-03-30
7,Fale old settlement,TK,-9.39,-171.25,95,0,5.28,303.64,2019-03-30
8,Chumikan,RU,54.72,135.31,63,56,0.63,268.49,2019-03-30
9,Daru,SL,7.99,-10.85,76,24,1.53,299.84,2019-03-30
10,El Progreso,HN,15.4,-87.81,77,20,0.73,294.15,2019-03-30
11,Opuwo,NA,-18.06,13.84,52,8,2.43,299.24,2019-03-30
12,Spitsbergen,NL,53.18,6.83,81,0,3.1,287.04,2019-03-30
13,Rodrigues,BR,-24.07,-48.35,89,24,2.88,288.59,2019-03-30
14,Karridale,AU,-34.2,115.1,33,0,1.34,300.93,2019-03-30
15,Territory of Christmas Island,CX,-10.5,105.67,78,75,2.6,300.15,2019-03-30
16,South Georgia and the South Sandwich Islands,GS,-56.0,-33.0,82,80,16.18,277.89,2019-03-30
17,Agulhas,ZA,-34.82,20.02,64,76,4.6,297.15,2019-03-30
18,Sand Point,US,33.96,-96.56,87,40,4.1,292.59,2019-03-30
19,Nanortalik,GL,60.14,-45.24,100,88,2.58,271.99,2019-03-30
20,Enken,RU,57.77,140.2,89,12,3.78,270.04,2019-03-30
21,Jinping,CN,26.68,109.19,64,92,2.13,293.99,2019-03-30
22,Union Territory of Andaman and Nicobar Islands,IN,11.7,92.68,100,0,4.33,301.19,2019-03-30
23,Port-aux-Francais,TF,-49.35,70.22,85,92,14.18,283.14,2019-03-30
24,Port Orford,US,42.75,-124.5,93,1,5.1,280.15,2019-03-30
25,Cadaqués,ES,42.29,3.28,81,0,1.5,287.04,2019-03-30
26,Stanley,US,48.32,-102.39,92,1,3.1,268.15,2019-03-30
27,Olonkinbyen,SJ,70.92,-8.72,100,48,15.58,268.99,2019-03-30
28,Vao,EE,59.1,26.19,87,0,4.58,278.49,2019-03-30
29,Prudhoe Bay,US,70.25,-148.4,73,20,7.2,267.15,2019-03-30
30,Territory of the French Southern and Antarctic Lands,TF,-43.0,67.0,100,92,7.38,288.79,2019-03-30
31,Barrio Almirante Brown,AR,-28.5,-65.8,86,64,0.89,285.37,2019-03-30
32,Namoluk Municipality,FM,5.92,153.14,100,88,4.23,300.69,2019-03-30
33,North Kesteven,GB,53.12,-0.63,93,0,2.1,282.04,2019-03-30
34,Auki,NG,12.18,6.51,18,0,5.73,307.54,2019-03-30
35,Aston Bay,ZA,-34.08,24.91,64,20,9.8,297.15,2019-03-30
36,Amurskaya Oblast’,RU,54.0,128.0,46,36,1.18,268.49,2019-03-30
37,Port Edward,CA,54.22,-130.29,93,90,0.78,278.15,2019-03-30
38,Hlybokaye,BY,55.14,27.69,68,0,6.88,283.29,2019-03-30
39,Corvo,PT,41.1,-7.97,81,0,0.5,288.15,2019-03-30
40,Atuona,PF,-9.8,-139.03,100,80,6.38,300.64,2019-03-30
41,Novaya Chara,RU,56.8,118.27,48,48,1.08,264.54,2019-03-30
42,Mount Coolon,AU,-21.39,147.34,96,92,0.33,293.84,2019-03-30
43,Raduzhnyy,RU,62.1,77.47,95,80,4.13,275.09,2019-03-30
44,Región Aisén del General Carlos Ibáñez del Campo,CL,-46.5,-73.5,94,8,0.63,267.54,2019-03-30
45,Kambove,CD,-10.88,26.6,51,0,3.68,299.74,2019-03-30
46,Tonopah,US,38.07,-117.23,43,1,6.2,275.15,2019-03-30
47,Manawatu-Wanganui,NZ,-39.95,175.02,77,36,2.68,292.04,2019-03-30
48,Karewa,NG,9.03,12.13,27,0,1.83,311.54,2019-03-30
49,Al Minţaqah ash Sharqīyah,OM,22.0,58.55,36,0,2.28,307.34,2019-03-30
50,Alihe,CN,50.57,123.73,36,76,2.08,270.39,2019-03-30
51,Ceeldheer,SO,3.85,47.18,86,0,6.28,303.29,2019-03-30
52,Huon Valley,AU,-43.29,146.57,61,76,0.45,284.26,2019-03-30
53,Longyearbyen,NO,78.22,15.63,67,40,11.8,266.15,2019-03-30
54,Tabwakea Village,KI,2.02,-157.49,83,75,3.6,301.15,2019-03-30
55,Arijejen,NR,-0.53,166.91,98,92,4.93,302.64,2019-03-30
56,Ponta da Areia,BR,-2.16,-44.52,100,0,1.5,298.15,2019-03-30
57,Commonwealth of the Northern Mariana Islands,MP,15.21,145.76,62,1,7.2,302.15,2019-03-30
58,Adak,TR,39.12,38.65,84,92,1.53,276.54,2019-03-30
59,Banana Village,KI,1.98,-157.37,88,40,2.1,301.15,2019-03-30
60,Oost-Vlieland,NL,53.3,5.07,87,0,0.5,284.82,2019-03-30
61,Henderson,US,36.04,-114.98,34,1,2.6,288.15,2019-03-30
62,Ilongero,TZ,-4.67,34.87,71,8,4.13,298.89,2019-03-30
63,Kampong Telok Reba,MY,6.17,102.3,74,75,4.6,304.15,2019-03-30
64,Safende,CV,15.37,-25.84,100,0,8.38,294.64,2019-03-30
65,Grytviken,GS,-54.28,-36.51,82,92,14.83,279.09,2019-03-30
66,Hamilton,CA,43.26,-79.87,80,90,6.7,277.15,2019-03-30
67,Bel Ombre,SC,-4.62,55.42,70,75,3.6,304.15,2019-03-30
68,Yerbogachen,RU,61.28,108.01,56,0,1.98,274.59,2019-03-30
69,Hanga Roa,CL,-27.15,-109.43,69,75,3.6,297.15,2019-03-30
70,Lebu,ET,8.96,38.73,31,24,4.13,297.14,2019-03-30
71,Augusta,US,44.31,-69.78,80,75,2.33,276.15,2019-03-30
72,Cook Islands,CK,-21.25,-159.79,83,76,4.1,299.15,2019-03-30
73,Destacamento Militar Número Dos Parque Cué,PY,-20.22,-61.8,91,0,1.28,294.99,2019-03-30
74,Ust’-Bol’sheretsk,RU,52.82,156.28,100,8,7.83,270.79,2019-03-30
75,Knevichi,RU,43.4,132.19,44,44,5.0,278.15,2019-03-30
76,Dikson,RU,73.51,80.55,98,68,14.18,270.89,2019-03-30
77,Leilani Estates,US,19.47,-154.92,73,90,1.5,295.15,2019-03-30
78,Khatanga,RU,71.98,102.47,90,24,4.83,269.99,2019-03-30
79,Tuy Hoa,VN,13.08,109.3,82,48,4.78,301.44,2019-03-30
80,Qaanaaq,GL,77.48,-69.36,78,8,4.13,250.64,2019-03-30
81,Utrik,MH,11.23,169.85,98,0,8.38,300.24,2019-03-30
82,Port Mathurin,MU,-19.68,63.42,74,40,4.6,303.15,2019-03-30
83,Rikitea,PF,-23.12,-134.97,100,80,7.33,298.54,2019-03-30
84,Moerai,PF,-22.43,-151.33,100,92,6.08,298.19,2019-03-30
85,Nasanggalau,FJ,-18.18,-178.8,96,80,5.73,302.04,2019-03-30
86,Lubao,PH,14.94,120.6,44,75,4.1,308.15,2019-03-30
87,Ciudad Constitucion,MX,25.03,-111.67,86,56,1.33,287.49,2019-03-30
88,Nornalup,AU,-34.99,116.82,47,0,5.63,295.34,2019-03-30
89,Faja da Ovelha,PT,32.77,-17.23,72,20,0.5,289.15,2019-03-30
90,Antsiranana,MG,-12.28,49.29,62,40,3.1,304.15,2019-03-30
91,Barrow,AR,-38.31,-60.23,79,0,6.28,292.09,2019-03-30
92,Engineer,CA,59.5,-134.25,80,75,2.1,275.15,2019-03-30
93,Cherskiy,RU,68.75,161.3,78,56,1.18,257.89,2019-03-30
94,Atafu Village,TK,-8.54,-172.52,97,56,5.08,303.14,2019-03-30
95,Ostrov Paskhi,CL,-27.11,-109.35,69,75,3.6,297.15,2019-03-30
96,Serui,ID,-1.88,136.23,91,36,4.18,301.29,2019-03-30
97,Moosonee,CA,51.27,-80.65,58,90,2.6,269.15,2019-03-30
98,Clarence Town,AU,-32.59,151.78,40,0,10.8,293.15,2019-03-30
99,Enewetak,MH,11.35,162.34,97,56,9.48,300.44,2019-03-30
100,Archipel des Kerguelen,TF,-49.25,69.17,94,92,7.73,281.54,2019-03-30
101,Akulivik,CA,60.8,-78.2,79,76,10.93,262.14,2019-03-30
102,Ostrovnoy,RU,68.05,39.51,91,44,7.43,270.09,2019-03-30
